,feature_feature_0,feature_feature_1,feature_feature_2,feature_feature_3,feature_feature_4,feature_feature_5,feature_feature_6,feature_feature_7,feature_feature_8
119,1948,3152,2941,2673,861,1974,2282,920,224
120,2846,2060,1096,846,2987,2063,920,224,3097
121,2605,1191,1081,846,759,1649,920,1144,1761
122,1051,1417,2872,1253,653,2928,920,224,3097
123,1951,3152,2984,861,152,1777,920,224,810
124,1449,378,496,846,759,1649,920,224,2867
125,1449,2918,2440,2024,861,1320,861,920,1144
126,1521,1191,1465,846,2987,3164,920,224,2867
127,1948,3152,2984,861,621,48,920,224,810
128,1234,3152,581,2053,846,673,1085,920,224
129,2846,684,1638,653,600,1649,920,224,810
130,2554,1222,333,653,2331,691,2814,119,1644
131,1951,2770,466,2928,2518,846,920,224,3097
132,1234,3152,2300,2673,653,126,846,920,1144
133,2605,1191,374,656,861,1974,653,920,224
134,1521,1191,2025,846,2744,1314,2814,119,1644
135,1521,1079,496,846,1687,1085,920,224,810
136,1234,3152,1858,861,2089,992,2814,119,1644
137,1951,3152,1523,861,2297,1649,920,224,810
138,1521,1535,333,861,425,510,2814,119,1644
139,1234,3152,2025,846,1582,1747,2814,119,2996
140,1951,2770,1095,494,1832,2928,2518,653,920
141,1550,1417,2620,2587,2323,2047,846,920,224
142,89,1191,2984,846,1881,861,920,224,810
143,1951,165,496,2258,861,468,1649,920,224
144,1951,3152,2872,1832,861,1974,1047,920,224
145,1948,421,3059,861,489,1174,2814,119,1644
146,2598,1417,2908,723,844,2928,813,861,920
147,2846,421,3022,2152,1047,644,2928,920,1144
148,2347,3152,1081,861,1974,2063,920,1144,1761
149,1234,3152,833,861,2484,691,2814,119,1644
150,308,3152,1798,270,846,1203,1649,920,224
151,308,2281,861,2484,2282,920,224,3097,615
152,1951,2770,1081,861,2505,653,920,224,3097
153,1948,421,1081,2053,653,210,2323,920,224
154,308,3152,3022,1407,861,1974,846,920,224
155,1521,2005,2334,861,425,3062,2814,119,1644
156,1234,3152,352,2928,1825,2928,920,224,3097
157,515,3152,2334,1177,846,1687,1085,920,224
158,515,294,160,348,861,2073,861,920,1144
159,2554,294,1053,846,1881,3023,920,224,393
160,308,3152,1909,48,1747,2814,119,1644,1656
161,1948,3152,3022,861,187,1085,920,224,3097
162,308,3152,2941,1832,653,359,3164,920,224
163,2347,509,496,653,2668,2063,920,224,3097
164,2554,2060,1095,807,861,1974,1085,920,1144
165,308,3152,333,846,2410,1747,2814,119,1644
166,438,1535,1909,2437,861,107,1281,2814,119
167,1521,1191,3059,653,2224,1047,920,224,810
168,1550,684,1936,846,1687,2919,2814,119,1644
169,1234,3152,1081,1388,48,653,920,224,3097
170,1234,3152,499,2666,861,1974,48,920,1144
171,308,3152,967,861,1621,48,920,224,810
172,1234,3152,917,2759,48,765,653,920,224
173,2846,2446,2941,2024,846,673,48,920,1144
174,1521,1191,1523,653,2063,920,224,810,1063
175,1951,2770,3059,861,2297,757,920,224,810
176,1234,3152,496,861,2073,653,920,224,810
177,1234,3152,1081,948,861,2484,2928,920,224
178,1449,1417,333,48,758,2814,119,1644,2244
179,308,3152,1523,861,152,1085,920,224,810
180,1951,421,1523,653,210,846,920,224,393
181,1133,1417,1523,861,425,3164,920,224,810
182,1234,3152,496,385,861,425,3023,920,224
183,1051,1417,2256,2504,844,2928,2518,861,920
184,1550,1191,3059,846,2787,1281,2814,119,1644
185,1554,1191,2256,2504,507,2795,861,1114,2316
186,2248,509,1082,861,1564,2282,920,224,3097
187,515,1222,2557,846,1687,266,2814,119,1644
188,3040,1222,206,961,861,1974,3164,920,224
189,1948,3152,2789,507,861,2433,48,920,224
190,89,509,1936,861,425,3045,2814,119,1644
191,2347,2918,1792,846,1389,1649,920,224,810
192,1951,3152,2984,2251,653,1093,846,920,224
193,438,619,967,653,126,2919,2814,119,1644
194,2846,619,1299,507,861,2433,1085,920,1907
195,1234,3152,677,653,3039,1649,920,224,810
196,1234,3152,1294,653,1093,1649,920,224,810
197,1948,1909,861,213,691,2814,119,1644,1108
198,2554,2060,1464,861,1955,1085,920,1907,2185
199,1449,509,2066,2407,1159,2323,595,653,920
200,1948,28,2928,1126,2063,920,224,810,1391
201,1234,3152,1541,3084,2092,3164,920,224,2581
202,2248,619,1541,1047,3164,920,1907,2185,3066
203,308,3152,1541,1047,3164,920,1907,2185,3137
204,308,1541,653,1440,861,920,1907,2185,3066
205,308,3152,2192,861,861,920,1907,2185,3066
206,308,3152,1464,1047,2076,2063,920,1907,2185
207,454,2918,1301,3084,2419,861,920,1907,2185
208,1948,3152,1541,653,1061,2330,2814,2922,2293
209,1951,2770,653,1093,2323,920,224,810,138
210,515,3152,1541,2323,2426,861,920,1907,2185
211,2605,433,1294,653,1093,2282,920,1907,2185
212,1051,3152,937,861,2013,846,920,1907,2185
213,1951,2770,642,857,507,653,2853,846,275
214,2846,2446,1572,2712,653,2383,2063,920,1907
215,1234,3152,333,653,1539,1281,2814,119,1644
216,1234,3152,1294,2257,2928,461,2063,920,224
217,2605,2770,333,653,2580,3045,2814,119,1644
218,1951,165,1464,861,213,757,920,224,810
219,308,3022,653,2528,846,920,224,3097,2510
220,89,1079,1909,846,2410,1174,2814,119,1644
221,89,1417,3059,846,2410,510,2814,119,1644
222,1948,3152,1936,846,1687,2063,920,224,810
223,1121,509,1301,653,1499,1085,920,224,810
224,2605,2464,2927,861,489,2063,920,224,2867
225,308,3152,1464,861,213,1085,920,224,810
226,515,294,2281,2251,653,600,1649,920,224
227,515,1222,3059,846,2410,2919,920,224,2867
228,1234,3152,2941,798,861,736,3164,920,224
229,308,3152,2334,2928,1724,846,920,224,810
230,438,294,1464,2928,2878,3164,920,224,810
231,1948,3152,1464,2622,2928,1126,1085,920,1907
232,515,165,967,861,213,48,920,224,2867
233,515,1222,2263,653,2331,1747,2814,119,1644
234,1948,421,885,1077,861,231,1649,459,920
235,308,3152,1053,2404,861,231,3164,920,224
236,1234,3152,3059,861,1594,691,2814,119,1644
237,1449,619,1464,2323,2766,1649,920,224,2867
238,1550,509,2263,846,2787,992,2814,119,1644
239,438,221,333,861,425,1281,2814,119,1644
240,1234,3152,2334,861,213,2919,920,224,810
241,515,294,1464,653,1499,2282,920,1907,2185
242,1521,1535,3047,103,507,861,960,3028,3164
243,1951,3152,1909,861,425,1777,920,224,810
244,2347,216,1863,1832,653,210,2928,920,1144
245,1521,3152,1798,2666,846,654,48,920,1144
246,1951,3152,1909,861,425,510,2814,119,1644
247,1948,421,1053,846,1203,1085,920,224,3097
248,2846,3152,967,1846,846,3045,2814,119,1644
249,1234,3152,2281,846,2410,510,2814,119,1644
250,515,3152,496,861,152,3023,920,224,3097
251,1521,421,2183,846,1881,846,920,224,393
252,2665,1191,2655,3080,846,1500,2282,920,224
253,2605,1535,2984,548,861,2484,861,920,224
254,1521,3152,1778,1297,861,225,757,920,224
255,308,1246,861,1974,3164,920,224,810,2964
256,308,3152,1936,2315,861,489,1649,920,224
257,2554,2060,1936,861,2297,1174,2814,119,1644
258,515,294,2307,2928,578,1047,920,1144,1761
259,1521,1222,333,861,425,2330,2814,119,1644
260,2846,1713,2140,861,2089,510,2814,119,1644
261,2554,2060,2984,1846,653,1225,861,920,224
262,1234,3152,1858,861,107,2330,2814,119,1644
263,308,3152,2256,2504,507,2795,2323,1501,170
264,1234,3152,2104,2992,861,1974,48,920,224
265,2605,509,1778,1202,861,2484,2282,920,224
266,308,3152,2984,319,846,1203,1649,920,224
267,1234,3152,496,1165,861,152,3164,920,224
268,1234,3152,2281,846,1881,2282,920,224,810
269,1948,3152,1909,2323,2897,861,920,224,810
270,308,3152,1523,653,2668,757,920,224,810
271,515,3152,333,861,1594,3045,2814,119,1644
272,438,294,2,423,861,152,2063,920,224
273,1449,911,2300,270,2928,80,2928,920,1144
274,1951,3152,2984,1515,846,1881,757,920,224
275,1234,3152,3022,2907,846,654,1777,920,224
276,1521,3152,2334,2887,861,1746,3164,920,224
277,1948,421,2593,846,1340,861,920,224,810
278,515,3152,2085,2859,842,653,359,846,920
279,308,3152,186,2323,676,48,920,224,810
280,3040,509,496,1331,2928,473,349,920,224
281,1550,1417,48,102,2063,920,224,810,754
282,515,3152,1585,507,846,3003,3164,920,224
283,438,619,2872,2024,861,1114,861,920,224
284,2248,2060,374,861,2484,2063,920,224,3097
285,2598,1417,1523,861,152,861,920,224,810
286,1234,3152,1936,653,1740,2282,920,224,2867
287,2352,1191,899,1655,507,861,1974,2323,920
288,1449,1535,2183,861,2297,2063,920,224,810
289,1521,3152,2300,653,210,2063,920,224,3097
290,1951,1143,967,1438,653,210,2063,920,224
291,1948,3152,2256,507,2323,2610,653,2170,920
292,1121,294,2789,507,653,2528,846,920,224
293,1051,294,496,861,152,2928,920,224,810
294,1948,3152,1863,1832,846,759,3164,920,1144
295,2846,2060,2256,2504,507,2795,861,1114,2316
296,2605,2465,496,653,2668,1649,920,224,810
297,2846,619,333,653,2331,1281,2814,119,1644
298,1948,421,496,861,2164,3045,2814,119,451
299,515,3152,967,861,621,2919,2814,119,1644
300,1948,1565,967,2405,653,2668,846,920,224
301,194,1535,1778,415,846,673,2063,920,224
302,1951,2770,1909,861,1594,1281,2814,119,1644
303,1133,1535,1909,3167,861,425,2282,920,224
304,1550,2770,2212,1162,846,759,861,920,224
305,1234,3152,160,861,1974,846,920,1144,1761
306,1234,3152,1081,48,102,2063,920,1144,1761
307,1521,1191,496,653,1403,2323,920,224,3097
308,308,3152,452,861,425,2282,920,224,810
309,1726,433,2,861,2484,3164,920,224,3097
310,1234,3152,1858,861,425,758,2814,119,1644
311,2846,2464,2281,861,468,757,920,224,810
312,3048,1191,1798,1998,2323,349,920,1144,1761
313,1133,509,917,2928,2518,48,920,1144,1761
314,1640,3152,333,861,152,1174,2814,119,1644
315,1521,3152,967,861,213,2282,920,224,810
316,308,3152,1936,40,2928,473,1174,2814,119
317,3068,433,2557,861,489,1281,2814,119,1644
318,1948,3152,466,846,759,2063,920,1144,1761
319,1948,1565,2593,861,1974,653,920,1144,1761
320,1521,1191,1016,861,1974,3164,920,224,3097
321,1948,3152,2104,961,861,1974,1047,920,224
322,1951,2770,2593,87,861,2484,653,920,224
323,1948,3152,1936,48,699,846,920,224,2867
324,1234,3152,3059,861,2297,2919,2814,119,1644
325,1449,294,1828,2714,653,2668,2928,920,224
326,1948,3152,1952,1360,861,2073,3164,920,224
327,194,294,1081,861,213,2282,920,224,3097
328,2846,2918,160,2673,861,2073,2323,920,1144
329,1951,2770,1016,3089,861,1974,1281,2814,119
330,194,1417,28,861,2297,48,920,224,810
331,1948,421,1523,846,759,3164,920,224,810
332,89,619,899,507,861,1974,653,920,1144
333,1951,3152,3059,861,152,1777,2814,119,1644
334,515,221,688,861,2484,2928,920,224,810
335,1951,3152,3155,1220,807,846,673,861,920
336,2598,2060,1778,861,2073,2282,920,224,810
337,2605,2770,2281,861,425,3023,920,224,810
338,308,3152,496,3162,861,152,2282,920,224
339,2605,476,586,1629,861,1974,1649,920,224
340,1948,3152,428,2666,653,210,3164,920,224
341,308,3152,496,1911,2928,461,48,920,224
342,1948,421,352,861,187,846,920,224,3097
343,1234,3152,1799,1938,861,2073,1649,920,1144
344,2846,3152,333,861,2089,3116,2814,119,1644
345,1234,3152,1936,1632,861,107,2919,2814,119
346,1951,3152,3059,2405,861,489,349,920,224
347,1234,3152,1096,861,2484,2282,920,224,810
348,1234,3152,2655,2024,861,1950,757,920,224
349,308,3152,2941,507,1047,644,356,920,1144
350,2598,1191,2122,519,2323,1818,1047,920,224
351,1234,3152,1095,2094,653,359,1085,920,1144
352,2347,1417,1053,861,468,2928,920,224,810
353,2248,1535,3059,1014,653,1740,1085,920,224
354,1951,3152,1820,861,187,3023,920,224,3097
355,1234,3152,586,2923,861,1974,2928,920,224
356,194,216,2307,861,1974,48,920,1144,1761
357,1951,1565,1095,2673,846,815,846,920,1144
358,2665,619,499,653,2119,653,920,1144,1761
359,2347,2918,1053,846,673,861,920,224,3097
360,308,3152,333,846,2410,2919,2814,119,1644
361,2554,2142,1523,1187,861,2484,861,920,224
362,2554,166,3155,2272,2094,653,359,846,920
363,1234,3152,2085,2859,1775,846,759,3084,920
364,1051,1222,1465,861,2484,2063,920,224,3097
365,438,2770,2281,846,1582,48,920,224,810
366,1234,3152,956,861,1320,48,920,224,3097
367,1234,3152,1952,2553,861,152,1085,920,224
368,1951,2770,2263,861,425,992,2814,119,1644
369,1234,3152,1246,653,2668,2003,2814,119,451
370,1550,1417,496,2799,861,2073,48,920,224
371,1948,421,496,846,945,48,920,224,3097
372,2347,221,1081,861,2297,1085,920,224,3097
373,1951,2770,981,2716,861,152,3164,920,224
374,2665,1417,2281,653,600,247,920,224,2867
375,1234,3152,2,491,861,152,861,920,224
376,1234,3152,2334,861,489,757,920,224,810
377,1951,3152,2,2053,861,1974,1649,920,224
378,308,3152,2789,507,653,1634,846,920,224
379,1948,3152,846,1924,758,2814,119,1644,2131
380,515,1222,1246,48,2063,920,224,3097,400
381,1234,3152,1520,415,653,359,48,920,224
382,1550,3152,333,846,2410,2330,2814,119,1644
383,1948,3152,466,846,3003,3164,920,1144,1761
384,308,3152,2355,236,861,2484,2919,920,224
385,1948,421,3022,2928,303,3164,920,224,3097
386,1234,3152,3155,1220,1120,861,1974,48,920
387,1948,421,160,861,2073,2323,920,1144,1761
388,2554,1417,1081,1911,846,759,48,920,224
389,1234,3152,899,1361,653,126,846,920,1144
390,1234,3152,1095,494,2024,653,2395,653,920
391,308,1040,2992,846,759,2003,920,224,810
392,1951,421,3155,1220,1872,861,2484,48,920
393,515,3152,1081,861,1974,3084,920,224,3097
394,1948,421,2263,861,1751,3116,2814,119,2996
395,1951,165,2984,861,152,757,920,224,3097
396,1234,3152,2212,861,2297,1085,920,224,3097
397,3048,1417,899,656,2928,973,2323,920,224
398,1948,3152,3059,846,2410,691,2814,119,1644
399,1521,1079,2281,873,861,425,3164,920,224
400,1121,1417,357,653,210,846,920,1907,2185
401,1948,421,629,2253,846,673,846,920,224
402,1234,3152,357,846,1881,2063,920,1907,2185
403,839,1417,51,1942,1354,861,1114,1315,846
404,2554,619,1779,1194,653,126,2063,920,1907
405,515,3152,3091,846,1881,48,920,224,810
406,1951,2770,496,2323,676,3164,920,224,3097
407,1234,3152,3059,1412,861,213,2282,920,224
408,1234,3152,1541,653,210,356,920,1907,2185
409,1550,509,1936,861,213,1085,920,224,810
410,1521,421,1909,861,213,2919,2814,119,1644
411,308,3152,1513,812,846,759,2330,2814,119
412,1234,3152,1909,846,2410,2330,2814,119,1644
413,3048,509,2334,861,2611,1174,920,224,810
414,1234,3152,2263,48,992,2814,119,1644,667
415,1234,3152,937,3162,861,152,3164,920,1907
416,308,3152,864,2928,2518,846,920,1907,2185
417,2554,1417,1936,861,425,1174,920,224,810
418,308,3152,1858,861,425,147,2814,119,1644
419,1234,3152,1936,653,2243,2282,920,224,810
420,308,1318,861,152,2919,920,224,810,545
421,308,3152,289,2203,861,213,1649,920,224
422,2347,619,496,2928,2055,1085,920,224,3097
423,1951,2770,2334,2928,1785,1085,920,224,810
424,515,3152,3128,570,861,152,2063,920,224
425,1234,3152,1301,300,861,2845,1085,920,224
426,308,3152,3059,653,1403,757,920,224,810
427,515,3152,2984,2058,2928,131,48,920,224
428,2248,2060,861,2476,2063,920,224,810,1686
429,670,1713,3059,653,2243,2282,920,224,810
430,2846,2060,1464,2323,2070,2282,920,224,2867
431,3068,3152,1294,861,213,3023,920,224,810
432,1948,421,357,1979,653,1569,3023,920,1907
433,1234,3152,2029,2924,2323,260,3164,920,1907
434,1951,1565,1936,861,1955,861,920,224,810
435,2347,2864,2984,653,811,2063,920,224,3097
436,670,433,2281,861,152,2063,920,224,810
437,2846,2446,496,861,1621,861,920,224,810
438,1521,1943,1538,2483,861,425,846,920,224
439,1550,3152,2556,861,68,2282,920,224,810
440,1951,2770,452,653,2331,1085,920,224,810
441,1948,3152,1301,846,3103,2282,920,224,810
442,1948,3152,2121,1515,861,213,3164,920,1907
443,1948,421,1513,653,2668,48,920,224,810
444,515,221,677,991,653,2243,1085,920,224
445,1234,3152,1909,2432,2323,1963,2063,920,224
446,1121,2918,516,798,653,2668,3164,920,224
447,1948,421,2281,653,600,3023,920,224,810
448,2347,433,3163,2928,2030,1085,920,1907,2185
449,2347,2918,333,2928,2012,1085,920,224,810
450,1951,3152,2334,2928,473,3164,920,1907,2185
451,1951,421,967,2053,861,2164,1649,920,224
452,1234,3152,2263,861,2089,1747,2814,119,1644
453,1521,1222,452,2425,846,2176,2282,920,224
454,308,3152,1318,846,2787,691,2814,119,1644
455,1948,3152,1294,265,2928,2012,2063,920,224
456,2858,1417,846,1924,2814,119,1644,667,2549
457,1234,3152,2818,1014,846,1667,1085,920,224
458,1951,421,3059,2928,497,846,920,224,810
459,3040,619,937,861,152,3023,2814,119,451
460,1948,421,677,2928,2550,3164,920,224,810
461,3048,1417,677,846,3103,3164,920,224,810
462,1948,421,1294,861,1842,3164,920,224,810
463,1234,3152,2334,2928,1671,757,920,224,810
464,1449,2060,861,1621,1747,2814,119,1644,3115
465,1449,619,2334,772,653,1403,1085,920,224
466,2605,2464,1364,846,861,1615,920,1907,2185
467,1234,3152,642,881,875,1047,1402,861,960
468,1234,3152,2747,3084,2928,2600,920,1907,2185
469,1948,421,1215,349,2323,920,1907,2185,1245
470,89,294,3140,3084,846,920,224,2798,2064
471,2248,2446,1936,653,1539,1085,920,224,810
472,2846,619,1301,653,1304,861,920,224,810
473,1951,421,2481,39,1047,456,846,920,1907
474,3068,294,2192,861,2484,48,920,224,3097
475,1726,3152,1909,846,2410,3045,2814,119,1644
476,1951,3152,967,653,2071,1174,2814,119,1644
477,1234,3152,2663,846,410,1777,2814,119,451
478,2598,1417,1318,861,1751,2063,920,224,2867
479,3068,1417,1909,861,107,2919,920,224,810
480,308,3152,2192,861,2484,3164,920,224,3097
481,1948,1565,1541,674,653,811,2063,920,224
482,308,3152,481,653,1093,653,920,224,810
483,3040,2770,2334,2928,2012,2063,920,224,810
484,308,3152,1936,1014,861,107,757,920,224
485,1234,3152,1828,767,653,2243,3164,920,224
486,2554,2060,1301,1970,2928,1616,1085,920,224
487,1234,3152,1301,2500,861,213,2063,920,224
488,308,3152,3059,861,1955,1649,920,224,2867
489,1948,421,1301,512,846,1139,3164,920,1907
490,1948,3152,1909,861,2089,2003,920,224,810
491,1234,3152,2281,2251,2323,1963,2063,920,224
492,3048,2918,1172,2769,653,1403,3164,920,224
493,1234,3152,452,653,1499,1649,920,224,810
494,515,3152,1936,1721,653,2243,1649,920,1907
495,1051,619,1909,2928,1785,2330,2814,119,1644
496,1051,3152,1301,2323,1455,1649,920,1907,2185
497,1951,2770,2281,772,653,255,757,920,224
498,1948,3152,3059,2928,1785,2282,920,224,810
499,1951,3152,1301,846,3103,1085,920,224,810
500,1051,2060,2984,653,811,3164,920,224,810
501,89,1417,496,653,600,757,920,224,810
502,2846,2918,2334,653,255,2282,920,224,810
503,670,3152,1936,2928,1600,2282,920,224,810
504,308,3152,677,861,420,2928,920,1907,2185
505,308,3152,2140,2873,653,1539,1174,920,224
506,1726,1535,2281,2769,861,425,846,920,224
507,1133,433,333,861,1594,757,920,224,810
508,1948,3152,2281,846,2589,3023,920,224,810
509,3048,1079,452,653,2243,2003,920,224,810
510,1234,3152,861,107,1777,920,224,810,602
511,1521,1191,1936,861,425,3023,920,224,810
512,2846,619,333,846,1122,2919,2814,119,1644
513,89,294,333,861,1594,3045,2814,119,1644
514,308,3152,452,861,213,3023,920,224,810
515,1550,684,1464,2928,131,1777,920,224,810
516,308,3152,1464,861,1955,757,920,224,2867
517,308,3152,981,653,1304,1281,2814,119,1644
518,194,3152,1301,1911,861,420,2063,920,224
519,1521,1191,677,2928,2803,1649,920,224,810
520,2846,2918,490,861,1955,3023,920,224,810
521,2347,378,1301,1911,846,48,920,224,810
522,2347,2446,2121,2928,473,2063,920,224,3097
523,1234,3152,2481,861,184,2063,920,1907,2185
524,1234,3152,2556,861,2845,2282,920,224,810
525,1234,3152,1513,633,2928,2012,2282,920,224
526,2554,2465,981,653,1403,3164,920,224,810
527,1948,3152,490,1617,653,2243,3023,920,1907
528,2554,378,490,653,2243,757,920,1907,2185
529,1234,3152,1301,2928,473,2323,920,224,3097
530,1234,3152,496,846,1687,1649,920,224,3097
531,1234,3152,2066,2024,861,2861,846,920,224
532,1234,3152,1301,653,1499,1085,920,224,810
533,1948,3152,2818,491,2323,2298,653,920,224
534,1948,1565,2121,2323,1094,861,920,224,3097
535,89,294,1294,1632,861,1746,757,920,224
536,1948,3152,357,2928,1661,653,920,224,810
537,1234,3152,1464,653,1304,2919,2814,119,1644
538,308,3152,937,653,2243,2063,920,224,810
539,1121,1191,1301,2323,1963,861,920,224,2867
540,1951,165,1909,861,1594,1281,2814,119,1644
541,839,1191,2984,861,213,1085,920,224,810
542,1234,3152,967,846,3121,1649,920,224,810
543,1951,165,2334,653,2243,2003,920,224,810
544,1234,3152,1936,2928,473,1085,920,224,810
545,839,1191,1541,861,213,1649,920,1907,2185
546,1951,3152,1541,861,213,1649,920,224,810
547,2347,1535,1936,861,1955,1777,2814,119,1644
548,1051,166,1541,2323,676,846,920,224,810
549,1554,3152,490,861,2845,1777,2814,119,1644
550,454,1417,2984,2928,131,861,920,224,393
551,1234,3152,1301,846,1203,3164,920,224,3097
552,670,619,2025,846,1582,530,2814,119,1644
553,2347,2446,861,2484,691,2814,119,1644,66
554,308,1936,861,2124,2330,2814,119,1644,2753
555,438,1191,2121,3,653,1727,653,920,224
556,1948,3152,2192,656,653,1569,3164,920,1907
557,2605,3152,2583,1194,653,784,846,920,224
558,1234,3152,1909,846,2410,1281,2814,119,1644
559,308,3152,3155,1832,2928,2518,1047,920,1144
560,308,3152,1186,846,1881,2063,920,224,810
