,feature_feature_0,feature_feature_1,feature_feature_2,feature_feature_3,feature_feature_4,feature_feature_5,feature_feature_6
214,81,84,87,110,112,398,594
215,2,10,12,16,35,42,60
216,42,109,414,505,729,10571,13683
217,2,12,61,81,87,133,258
218,12,32,505,724,729,1208,1865
219,32,301,523,1063,1101,1665,3050
220,2,12,16,35,61,87,95
221,12,2562,5186,8104,8346,8886,10385
222,0,2,12,15,16,32,35
223,2,12,61,68,263,336,345
224,12,15,32,35,82,94,109
225,1,80,173,269,382,452,488
226,140,2122,2898,4078,5777,6226,6979
227,2,61,251,376,5040,7378,7989
228,10,96,364,382,395,398,508
229,6,13,108,174,554,665,832
230,13,68,73,83,92,437,574
231,0,2,5,10,12,13,15
232,5,218,246,273,422,510,512
233,7,96,365,366,398,432,578
234,2,8,13,16,25,42,49
235,35,69,94,269,325,414,505
236,87,414,505,523,2482,4547,6770
237,3771,3859,5696,7104,7105,7106,7289
238,156,251,368,432,505,574,675
239,12,42,81,94,258,432,508
240,91,110,174,269,315,388,392
241,81,110,112,398,431,1237,1806
242,61,138,222,263,559,716,1135
243,76,80,970,1334,3244,3273,4865
244,80,179,263,304,398,414,589
245,95,251,269,278,414,454,505
246,71,80,3050,13795,14886,18654,23199
247,80,94,179,269,414,2002,2882
248,2,9,12,13,25,71,83
249,13,80,81,87,94,174,269
250,81,87,179,304,398,675,1017
251,156,163,251,325,351,594,1101
252,0,10,12,25,28,76,119
253,326,332,661,882,1097,1537,3486
254,120,505,1264,1884,2482,3328,4892
255,12,81,222,505,523,1101,1264
256,87,325,395,1785,2375,2484,6677
257,81,84,87,403,431,2470,4352
258,488,2178,3660,5040,10892,12014,13258
259,3436,3442,4452,8948,9870,24306,24502
260,2,12,16,32,35,49,61
261,1561,2202,2762,2901,3432,3435,4261
262,81,90,108,398,505,2482,6164
263,587,1252,2002,2003,2040,2062,2920
264,140,263,505,832,2670,3429,4267
265,10,60,80,81,96,108,112
266,0,14,136,153,156,210,366
267,523,8028,12014,13804,21164,21220,23625
268,12,82,87,315,389,422,431
269,1,398,523,2377,6355,7929,14275
270,251,661,3081,5065,9301,10517,13804
271,12,13,32,49,79,82,87
272,2,12,49,110,325,432,675
273,2,12,16,32,35,42,49
274,0,12,13,15,16,32,35
275,42,81,105,251,505,959,1378
276,153,505,729,10102,10571,12042,27973
277,12,81,94,106,108,174,388
278,0,2,7,10,12,16,25
279,2,12,14,63,95,97,311
280,0,7,49,87,174,218,272
281,108,184,555,620,2908,3458,5498
282,12,16,63,82,87,91,112
283,0,12,35,49,73,83,87
284,12,83,675,699,1732,2482,5221
285,12,35,42,63,96,97,138
286,0,12,61,108,153,251,258
287,42,87,108,153,395,505,729
288,138,159,172,251,278,301,454
289,138,153,729,3779,4301,4302,7896
290,2,42,95,97,7929,7957,8349
291,10,12,35,49,61,81,87
292,0,12,13,94,108,112,162
293,2,12,16,49,61,83,95
294,2,12,25,35,42,61,109
295,12,16,32,138,153,7128,7575
296,308,505,10678,11662,13637,20423,27476
297,251,2783,7957,8028,8349,9095,12014
298,5193,5221,7699,14374,14443,14636,14682
299,123,1962,7050,7861,9214,10375,10678
300,2,12,16,35,61,83,138
301,98,10005,11176,11410,11662,22212,30849
302,95,138,523,1063,1579,7499,7568
303,49,87,95,387,398,505,523
304,12,222,258,311,711,1264,2130
305,16,42,95,138,153,251,828
306,16,49,82,87,88,90,95
307,90,10662,12014,18220,18730,19834,23861
308,81,108,315,398,437,453,604
309,17,35,61,251,454,505,523
310,12,95,505,729,7946,11058,12085
311,12,61,263,1264,2270,2847,3353
312,2,80,505,716,17881,25560,27220
313,12,91,1101,1264,7630,8549,10350
314,2,16,35,61,87,95,97
315,81,389,11088,11734,13293,13496,14069
316,16,32,138,432,729,2657,12898
317,87,523,832,2514,7929,10678,10892
318,293,517,1352,1628,1785,2166,3050
319,67,81,84,87,110,318,330
320,458,1043,2400,2874,6355,6394,10968
321,9,398,998,1331,1394,1976,2062
322,110,116,174,398,453,589,675
323,81,1311,5831,7020,9800,10852,19590
324,0,81,90,108,112,134,156
325,10,15,32,62,63,74,90
326,84,94,113,188,315,327,389
327,505,729,1998,3301,3328,3330,4366
328,110,112,151,275,306,323,390
329,170,364,398,498,814,852,864
330,62,84,87,110,174,325,388
331,49,61,95,112,153,251,620
332,112,959,1004,1253,2704,3064,3139
333,90,1101,1976,4261,4492,7893,7957
334,81,112,770,3141,3432,4497,6023
335,0,62,74,81,90,156,278
336,0,6,12,13,25,49,80
337,0,6,9,10,12,15,25
338,6,25,68,232,263,270,508
339,16,60,63,95,97,105,109
340,301,794,1005,1046,2517,2583,2693
341,138,382,398,505,832,5777,6015
342,62,178,395,559,604,806,914
343,1074,4385,6290,7306,7308,11204,16373
344,87,95,97,138,220,523,1063
345,823,2986,3244,3330,3409,5675,5903
346,76,80,743,930,1717,9437,9960
347,7,28,76,179,187,237,304
348,13,159,173,181,230,231,382
349,273,387,599,1081,1469,1564,1579
350,126,178,278,451,464,505,512
351,538,599,956,1024,1046,1124,1213
352,13,81,94,204,269,464,505
353,0,6,10,14,88,108,174
354,10,49,80,106,108,126,156
355,0,251,594,2002,7347,10244,12095
356,1,467,555,763,1290,1348,1674
357,12,32,42,49,81,90,109
358,200,2153,2219,5274,5842,8264,10385
359,0,10,90,94,126,181,200
360,145,301,510,768,1035,2708,3050
361,84,108,153,361,505,1387,2002
362,0,7,49,80,87,220,382
363,7,25,269,275,278,523,801
364,12,16,32,35,49,61,63
365,5,6,9,31,94,178,190
366,25,49,109,138,251,398,422
367,5,81,112,156,675,806,1534
368,112,181,382,388,398,587,588
369,10,87,174,269,325,368,525
370,0,81,108,178,181,184,210
371,505,1945,2749,3034,3409,3593,5040
372,10,94,108,395,2002,6015,27203
373,94,1005,1529,2002,5981,6144,11449
374,306,2282,7843,8033,8349,8359,8450
375,80,87,136,351,381,395,458
376,9,12,87,112,174,251,325
377,0,218,272,382,620,642,756
378,0,10,108,269,325,505,822
379,0,49,120,153,251,414,432
380,0,108,136,204,278,388,395
381,770,19869,21475,24806,25430,26032,30582
382,908,3034,13512,13628,14312,14332,16424
383,0,756,1284,1347,2610,3813,4270
384,10,128,914,1453,1496,1743,2766
385,0,90,167,210,318,395,1043
386,6,61,138,275,292,464,588
387,0,1,7,10,13,25,49
388,12,63,523,806,1894,2002,5040
389,12,16,95,138,414,505,729
390,153,414,505,2269,2834,5274,9301
391,28,61,67,81,83,140,414
392,10,87,113,251,325,387,388
393,0,10,49,80,81,108,110
394,2,10,12,28,61,73,87
395,2,87,505,523,2482,4547,10680
396,2,12,87,120,258,716,1220
397,0,10,25,42,49,62,81
398,62,81,87,108,112,138,437
399,2,12,81,87,108,110,112
400,890,2660,2681,5813,5982,13489,14913
401,138,246,523,1665,2086,3034,5842
402,94,159,395,396,1356,2002,2173
403,81,84,154,589,661,770,859
404,16,49,82,87,95,97,109
405,49,81,82,84,87,88,91
406,0,1,10,13,49,81,84
407,0,422,644,764,806,1297,1962
408,0,10,112,174,181,204,278
409,81,108,112,868,1158,1297,1762
410,0,13,49,74,81,88,91
411,49,73,80,258,269,432,505
412,0,10,16,61,95,97,106
413,0,1,7,10,16,25,32
414,49,3245,4741,8698,10022,10536,11704
415,63,88,153,246,620,675,1135
416,2,12,61,73,246,263,279
417,505,1865,2223,3050,5274,5407,5842
418,12,61,140,505,3696,3939,5040
419,8,80,81,194,240,716,1063
420,2,12,16,35,61,153,414
421,2,16,49,62,87,108,110
422,2,12,16,35,49,61,73
423,10,12,49,81,87,108,112
424,49,79,81,82,84,87,88
425,2,12,16,35,61,68,69
426,2,12,16,32,35,95,97
427,81,90,325,2024,7916,13683,13684
428,2,12,16,35,49,87,95
429,0,2,7,12,13,16,25
430,12,97,108,156,174,181,269
431,87,275,1785,2002,2377,5274,9301
432,0,5,10,13,99,368,388
433,2,12,16,32,35,42,62
434,16,35,95,505,523,14785,18654
435,12,61,63,505,2877,7568,7957
436,61,68,88,361,516,668,693
437,2,12,25,32,35,49,61
438,12,16,25,32,49,80,87
439,2,13,16,25,32,49,61
440,25,82,269,635,680,1717,2321
441,152,269,693,1456,1910,2467,2882
442,169,1402,2004,2354,3538,4663,4771
443,7,80,94,181,232,366,464
444,0,218,315,399,2008,2514,4261
445,49,63,87,100,138,251,275
446,10,80,156,184,237,275,382
447,112,431,517,796,959,1785,1885
448,49,87,218,269,368,400,525
449,12,13,83,95,120,422,432
450,1,67,80,91,365,512,640
451,0,2,5,10,13,25,49
452,12,62,73,81,83,87,110
453,0,10,49,84,87,88,94
454,60,81,258,278,385,431,2283
455,35,49,61,76,87,88,122
456,2,12,16,35,49,87,108
457,2,12,49,87,95,247,387
458,2,32,61,69,138,150,176
459,2,5,13,25,71,80,108
460,32,49,60,63,95,96,109
461,83,325,1865,7916,9301,10385,12028
462,12,81,246,675,1135,1806,4297
463,74,172,174,204,251,278,332
464,45,94,174,729,2283,3245,3453
465,158,574,675,2122,3164,14132,15223
466,90,97,264,301,325,395,432
467,25,90,414,505,512,693,832
468,0,13,32,35,42,61,73
469,2,12,35,61,73,87,95
470,108,110,505,1237,4717,6164,7929
471,698,975,1952,2002,2282,4261,4366
472,15,16,86,95,112,138,188
473,2,9,12,16,26,32,35
474,2,12,32,49,63,80,87
475,12,16,42,63,97,278,681
476,0,368,3050,3660,16929,19349,29454
477,0,2,12,49,61,73,82
478,49,454,505,642,1095,7957,8349
479,10,13,25,63,76,87,96
480,87,113,315,332,556,1004,1696
481,71,365,505,555,1579,2003,3660
482,0,10,25,71,108,136,156
483,517,758,1785,2122,2898,4769,7929
484,10,199,398,452,1024,1069,1074
485,12,16,32,42,60,63,91
486,12,35,49,87,90,112,325
487,49,67,95,525,661,675,837
488,6,76,88,108,467,505,512
489,16,95,301,505,1264,3834,4385
490,0,1,10,108,162,163,169
491,12,87,174,246,251,258,387
492,0,6,12,49,174,178,188
493,87,94,174,188,196,325,864
494,8,162,204,231,301,337,368
495,0,6,10,108,178,181,207
496,0,81,90,251,325,395,505
497,0,1,6,7,49,74,84
498,13,368,382,395,512,696,756
499,6,62,74,86,88,109,112
500,0,10,62,108,112,162,169
501,437,3354,9530,16144,18789,20488,21802
502,0,6,108,122,174,181,184
503,84,87,88,388,390,392,431
504,10,382,464,601,805,914,1554
505,368,594,661,1768,2171,2282,11734
506,12,200,13373,13804,18397,20772,27855
507,1277,1449,3333,4663,4983,5347,5561
508,145,167,177,207,293,396,747
509,398,569,593,658,6691,7630,8256
510,2,12,32,113,505,1095,1196
511,392,464,538,569,841,1428,2315
512,49,84,87,368,382,387,453
513,84,87,88,110,112,174,239
514,422,437,640,786,10156,11936,12048
515,884,986,1277,1945,1984,2062,2130
516,12,16,35,42,60,61,86
517,0,2,6,7,9,10,13
518,0,1,5,7,10,13,14
519,7,13,74,76,80,88,108
520,2,6,12,138,145,168,388
521,81,112,675,822,1801,5040,9173
522,2,61,68,70,73,231,258
523,0,169,194,301,351,388,391
524,7,106,368,382,514,556,661
525,188,325,395,422,795,1806,2002
526,112,172,296,395,874,959,4926
527,95,103,240,251,258,414,706
528,301,795,938,999,1466,1628,1798
529,0,49,94,156,184,398,620
530,0,2,31,49,68,73,80
531,7,269,332,368,663,683,751
532,80,94,112,2002,14547,15752,23382
533,90,181,395,515,623,795,3034
534,80,523,841,959,1378,2495,12986
535,395,523,620,2002,2420,5040,5842
536,6,122,156,172,204,351,395
537,94,382,569,832,1159,1486,1496
538,156,167,204,251,729,5274,22322
539,5,122,169,178,309,627,874
540,108,2002,2401,2517,2658,5709,8614
541,9,80,81,87,108,112,315
542,0,5,6,10,108,156,382
543,0,156,169,207,351,395,806
544,94,106,205,498,658,790,822
545,25,87,108,156,174,184,220
546,10,25,80,169,174,352,364
547,2,8,12,16,61,68,69
548,5,10,81,84,87,88,99
549,2096,2762,3677,4267,4452,5408,5580
550,91,315,1220,5208,8187,12109,15110
551,81,87,108,156,178,395,925
552,10,325,593,640,795,814,832
553,81,112,269,395,501,1396,3126
554,2,61,80,414,6023,15782,18092
555,122,169,644,794,1001,1151,2002
556,45,673,855,1127,1428,1573,1717
557,25,76,349,390,832,942,1046
558,13,23,25,76,80,133,140
559,16,25,42,60,61,63,95
560,12,28,120,140,150,278,414
561,3245,7628,10102,10569,10861,14711,18092
562,112,138,278,569,620,2704,3064
563,272,385,389,4165,4278,9448,10571
564,594,1178,1865,2793,3516,5842,5853
565,2002,4323,4976,8516,10640,10705,11728
566,167,1063,2308,3477,3698,3841,4854
567,42,716,2097,2490,5254,6091,6164
568,179,278,3409,3851,5040,7675,8675
569,45,392,432,1001,1043,1063,1950
570,25,120,140,269,540,2536,3328
571,6,25,80,127,452,569,743
572,336,2543,4659,7200,7578,8601,10140
573,87,638,661,1955,2002,7168,9530
574,5,562,569,1547,1871,2002,2071
575,0,25,101,167,181,251,278
576,13,178,498,796,814,893,1171
577,25,265,269,351,382,437,512
578,0,7,9,25,49,61,80
579,1785,2002,2062,2377,2500,3034,3442
580,2,12,69,80,94,120,376
581,12,16,84,87,389,403,4488
582,32,114,190,493,802,959,1253
583,12,16,197,325,505,1884,2482
584,110,431,822,959,1004,1639,2377
585,2,12,32,35,42,60,63
586,7,49,62,81,94,108,112
587,87,955,2003,2238,2483,4352,4443
588,25,120,414,832,938,4892,7412
589,16,35,81,95,97,172,888
590,251,505,729,1063,3034,6770,10365
591,2,12,13,16,35,49,80
592,82,84,365,392,432,505,556
593,2,35,269,505,3034,5040,6740
594,174,538,675,1264,2002,2847,3034
595,0,2,7,10,12,25,32
596,0,1,7,13,25,106,112
597,2002,2003,5408,9530,12381,13512,18261
598,12,204,505,7378,7721,8497,15470
599,258,318,723,1063,1220,3301,3380
600,153,368,3765,6496,11675,11999,15782
601,505,523,729,6164,7630,7929,12999
602,2,61,86,247,251,2275,2340
603,398,594,10388,14580,18842,27134,28806
604,49,87,174,1496,2002,2173,2377
605,832,1462,2002,2315,2377,2429,3034
606,7929,7957,9301,9466,14682,28435,29454
607,0,6,13,14,25,87,88
608,892,1151,1628,2282,2782,3164,4489
609,12,392,432,505,729,3754,6164
610,13,169,328,390,466,498,569
611,0,5,10,13,31,80,106
612,7,10,25,62,71,80,81
613,3406,5040,6994,10892,11272,15869,23199
614,106,122,184,395,398,422,467
615,414,437,505,2380,3050,5274,9301
616,87,251,269,505,6129,19671,23466
617,2,12,16,32,35,42,49
618,2,12,61,81,84,87,99
619,16,35,95,178,325,505,729
620,74,1663,1829,2223,2356,3806,8349
621,523,4892,5842,6164,7308,7929,8784
622,12,432,1063,1264,4150,5193,26625
623,35,76,80,87,95,138,414
624,87,325,832,1063,13753,27255,27552
625,16,97,505,7308,11058,13500,13804
626,2,12,80,81,90,94,240
627,16,95,97,138,220,251,505
628,87,108,398,508,523,620,1063
629,278,414,505,523,729,832,1264
630,2,246,505,675,796,1352,1628
631,87,414,505,5040,6770,7308,9183
632,12,251,505,523,3245,12042,15782
633,87,325,351,1342,2482,4717,8349
634,0,49,79,82,91,109,122
635,83,1264,3185,6272,7467,10852,13137
636,10,112,275,351,395,588,594
637,275,368,550,1550,1785,2002,3442
638,136,194,239,404,508,565,569
639,0,2,5,7,10,12,13
640,269,392,505,822,1264,8549,10350
641,512,2377,3660,4323,6015,13512,30549
642,81,108,368,398,525,594,620
643,109,138,315,389,505,1378,7499
644,407,6250,8765,14308,14631,21750,28580
645,81,94,112,138,153,174,275
646,0,5,9,10,25,80,81
647,16,42,98,109,138,145,167
648,2,12,16,35,42,49,61
649,12,16,32,35,61,87,95
650,12,16,42,61,62,91,105
651,2,12,16,32,35,42,49
652,138,220,278,1220,7295,11058,14312
653,5,120,220,505,757,1009,2002
654,62,90,130,494,731,805,938
655,2,10,13,32,63,73,81
656,95,97,269,275,325,432,729
657,99,156,169,574,832,2002,5040
658,35,42,61,138,153,278,325
659,387,897,5186,7587,9301,10102,10385
660,10,200,770,783,4301,5842,7378
661,12,97,120,414,505,1264,6164
662,15,35,126,138,151,153,269
663,12,16,67,81,87,97,109
664,7,13,80,94,156,368,385
665,90,387,392,525,569,597,896
666,0,10,13,49,84,87,88
667,0,2,8,12,13,16,35
668,574,577,661,697,832,1538,2543
669,174,251,414,505,2377,5040,10304
670,12,16,26,87,95,96,108
671,675,1135,2130,2343,3164,6616,9336
672,35,49,61,62,81,82,84
673,172,385,387,395,398,405,556
674,12,35,61,258,376,414,569
675,12,35,61,505,675,2269,8784
676,16,61,95,109,138,153,190
677,2,8,138,1101,1220,2283,5193
678,32,49,153,523,8028,10571,18351
679,6,156,368,531,646,764,837
680,108,251,325,505,515,729,864
681,49,82,275,325,555,642,864
682,1,6,14,25,94,96,106
683,13,948,3432,3577,3814,5371,6056
684,0,13,34,101,387,391,400
685,0,5,7,13,49,80,84
686,5,7,13,25,76,80,94
687,25,32,42,63,138,153,454
688,83,109,138,251,505,1011,1101
689,2,12,16,35,42,83,87
690,2482,5221,10102,11292,15771,18723,26253
691,3940,10157,10534,14430,15575,23468,23637
692,1101,2282,3806,4325,5643,8347,9931
693,13,49,80,87,432,512,527
694,0,101,156,170,188,210,218
695,0,1,6,7,10,13,49
696,94,512,661,1264,1655,1806,1983
697,0,368,1074,1352,3660,4385,5804
698,336,516,2270,3147,3353,3382,4056
699,246,523,7929,14682,16929,27168,27901
700,5,10,12,99,108,122,332
701,0,25,80,87,94,108,112
702,84,138,153,174,251,505,523
703,0,6,16,42,60,95,108
704,697,766,1039,1252,1750,2122,2517
705,12,16,32,42,63,82,87
706,0,5,7,10,49,80,84
707,0,1,2,6,7,10,12
708,156,351,395,587,1208,1529,1704
709,0,388,758,2002,2071,3069,4243
710,94,174,237,510,1428,1491,2002
711,569,1472,3615,6056,7378,10097,10475
712,0,162,382,601,609,1023,1090
713,9,12,13,25,71,76,80
714,1,87,108,112,122,174,194
715,103,167,2898,3414,3448,3526,4719
716,2002,2040,2530,3034,5224,5274,5414
717,6,94,690,758,841,914,1806
718,9,505,661,808,832,6421,15397
719,1046,1768,3544,5733,7306,10096,12598
720,0,4,5,94,173,195,224
721,170,587,801,942,980,1046,1254
722,81,113,188,620,1096,1396,2062
723,382,398,508,587,806,813,863
724,349,452,2364,2499,2500,2592,4165
725,101,138,181,352,464,514,565
726,42,65,172,200,666,674,1009
727,2040,4497,6000,8721,9910,11740,13512
728,31,1005,2002,2489,2515,2749,4551
729,6,81,95,97,156,172,181
730,251,716,836,2483,4679,6067,6496
731,2,49,87,108,112,263,269
732,80,269,388,390,398,431,437
733,231,236,555,1388,1428,1733,1818
734,15,49,74,90,110,251,553
735,70,254,675,980,1717,1894,2143
736,365,382,587,1023,1094,2500,3333
737,95,194,220,251,351,395,505
738,32,325,432,525,2514,3126,4497
739,15,16,73,90,138,145,159
740,100,515,2122,2575,11013,11547,21342
741,0,351,356,388,437,467,498
742,25,96,505,7354,12262,12506,12922
743,39,2055,4900,4914,5259,5519,5817
744,76,251,538,567,569,603,806
745,540,1380,7767,8024,8440,12262,17458
746,364,382,505,762,940,3050,4519
747,599,705,981,1311,1941,4900,6155
748,1758,2920,4363,12337,21345,24140,29147
749,31,138,145,159,169,177,181
750,1,431,590,613,789,794,962
751,5,80,382,390,404,437,515
752,150,505,729,858,1716,2289,3066
753,12,2405,11542,12239,12897,12999,13027
754,25,80,87,106,174,382,390
755,0,10,12,13,16,25,32
756,1,10,76,263,364,382,388
757,25,1063,1220,1785,4787,8029,8440
758,159,249,351,587,736,737,980
759,398,410,590,613,625,638,816
760,0,1,7,14,76,159,173
761,0,20,169,395,467,628,675
762,10,388,398,609,697,813,942
763,0,1,2,6,7,10,12
764,388,407,538,587,592,697,794
765,0,5,88,156,181,218,364
766,227,370,569,635,894,930,952
767,599,816,1311,1473,1478,2196,2224
768,5,613,909,940,942,1161,1323
769,10,159,168,196,388,452,538
770,0,1,10,14,20,25,45
771,806,1768,5672,5789,15071,17502,17939
772,76,351,992,1043,1046,1510,1713
773,1,278,382,398,578,587,999
774,662,2388,8699,14781,19442,20170,20312
775,1213,1349,1473,1491,1587,1609,1726
776,25,31,106,173,194,398,453
777,10,12,122,138,156,162,174
